,capacity
G3423,3430
Lenovo S1La40,2700
SM-J327R4,2600
5045X,2000
K10,2300
XT1710-02,3000
BLADE A520,2400
i5G,4500
SO-03G,2930
A33fw,2420
CPH1803,4230
BLU STUDIO C HD,2000
LG-D690,3000
ELUGA Turbo,2350
DUK-L09,4000
ZUK Z1,4100
7,1960
SM-G361HU,2000
FS459,3000
SM-G389F,2200
LG-V522,4800
4060W,2000
Micromax Q349,2500
Micromax E483,3000
itel it1702,1500
B5Pro,5000
TECNO LA7,5000
SM-A530F,3000
QMobile i7i,1700
Macro M1,4000
Philips_S326,2300
itel S32,4000
HUAWEI SCL-U23,2200
5058,3000
Fire2 LTE,1900
Miracle 6.0 S,4300
BVQuad_Plus,2100
SM-G935R4,3600
SM-J720F,3000
BLL-L23,4000
ATU-L22,3000
K500 LTE,2300
X4,3000
m3,5100
SMART Surf2 4G,1880
HTC Desire 12+,2730
ASUS_Z00MD,3000
D6543,3200
OPPO R11s,3200
LG-D335,2540
MHA-L09,4000
5085Q,2800
SM-T355Y,4200
SM-N960U,4000
SM-G920T1,2550
ZTE BLADE A506,1250
VIE-L29,3400
Aqua Star 4G,2000
S9,3000
LGL53BL,2100
iQW553N,3350
vivo 1719,3000
i7,1960
RA-1 Genius,4000
SM-G611FF,3300
Studio C HD,2000
e501,2500
SM-G935W8,3600
Duopix R1,2410
Q440,2500
F3115,2300
SM-N915T,3000
YUHO Y1,3080
A76,1850
MIX 2S,3400
RoverPhone,4000
Aqua Power M,4000
C5,2600
IF9007,3000
LG-LS997,3200
SM-G5510,2600
Stylo K7,2125
YOGA Tablet 2-830LC,6400
SMART MAX 4.0 PLUS,3000
LG-F160K,2150
Ramdhani Alhasbu R,4300
i21,2200
HERO3,3400
X1 Selfie,2100
HM 1SW,2000
MI 6X,3000
X,2716
P001,3450
s6005X,3000
Studio Mega,2500
MI 8,3400
SM-G903W,2800
Grace V Plus,1500
VERGATARIO 5,1400
DUK-AL20,4000
Archos Core 55S,3000
M bot 60,3800
iNO S9,3000
Note 8,3300
SM-G965U1,3500
HTC6500LVW,2300
LGL56VL,2100
CPN-AL00,4800
BLACK-1X,2400
P41_eMagic,1400
INTEX AQUA CRYSTAL,2300
Grand2c,2600
B1,3700
X300 Elite,3000
Alcatel Pop C7,1900
Eluga I9,2500
MicromaxP702,4000
SM-N900W8,3200
LM-X212(G),2410
moto e5 plus,5000
ZTE BLADE L7,2500
GO Onyx mini,2525
A45 Indian,1300
Astra Young 4G,5020
Panasonic ELUGA Mark,2500
Infinix X606B,4000
X22,3180
HUAWEI LUA-U02,2100
SM-J337P,2600
4017A,1300
HUAWEI G700-U20,2150
SMART 4G MAX 4.0,3000
SM-P350,4200
CPH1821,3400
Infinix X604,4500
SM-G360G,2000
SC-02F,2600
5044D,2050
M4 SS4458,5000
Beeline Pro 2,3050
LLD-L21,3000
Kylin 5.5S,2250
Z61,3000
Symphony P7 PRO,2300
irisalfa,2200
LS-5013,2420
MI 4W,3080
D5316,3000
LML413DL,2540
SM-N920I,3000
L51,3000
i7U,3400
SM-G950W,3000
BAC-L21,3340
SM-G950,3000
S61,4500
Z958,3000
A38,3180
C103,4060
V1 MAX,2720
X9S,3320
SM-G935P,3600
NEX3 mini,4500
E5306,2600
SM-J337A,2600
DRA-LX2,3020
SM-T531,6800
SM-N9002,3200
Pocket_2,1200
HM-G552-FL,2200
Elite Note,4500
Micromax Q392,4000
X19,2200
MUV,3500
SM-J7+,3000
F5121,2620
ME302KL,6760
M21,6000
MORE 5.0,5000
Micromax Q4601,3000
Studio J8,2500
F3212,2700
SM-J600F,3000
Infinix-X521,3000
SM-N910S,3220
INTEX AQUA FulVU e5,3000
TECNO F2,2000
Micromax Q414,1750
Grand Max,2500
HT70,3000
Aqua Ace Mini,2300
OUKITEL U10,3930
E71,1500
LS-5015,2420
Archos 55B Cobalt,2600
SM-G360T,2000
CUBOT KING KONG,4000
ELUGA Ray Max,3000
INTEX IM0418ND,3000
5S,1560
LG-H340n,1900
vivo 1612,3000
SM-J727VPP,3300
SM-J320YZ,2600
S3+,2100
WE A3,4030
SM-J701MT,3000
SM-J810G,3500
Lenovo S60-a,2150
Studio View,2850
Dash XL,2500
P42,5100
AUM-L41,3000
LGLS755,4100
Jazz J3 2018,2600
TECNO F1,2000
Iris X8 L,2500
Panasonic T30,1300
5022X,2000
INTEX AQUA 4G MINI,2300
VOX Flash 4G VS5015ML,2300
ZB602KL,5000
SM-A800F,3050
Z45Q Star,3700
G3221,2700
Fresh4G,2910
CAG-L03,3020
R45,3430
iris 870 4G,2500
SM-J8+,3500
5045D,2000
Crystal,1000
Omega HD 3,3100
LG-H930,3300
X11,660
Young Y52,3000
SM-J530G,3000
DUA-L22,3020
5047D,2200
HTC One_E8 dual sim,2600
HUAWEI MLA-L11,3340
Alfa A18,4050
TECNO F3,2400
Elite Prime,2870
LND-AL30,3000
d-02H,4800
SM-T385,5000
Che2-L11,3000
Infinix NOTE 3,4500
M5 Plus,5020
Micromax Q401,1600
SM-J3119S,2600
ASUS_X018D,4130
Elite Power,5000
SM-T355,4200
Kylin 5.5,2250
MicromaxF666,4400
HUAWEI MLA-AL10,3340
PULP FAB 4G,2820
J7 Prime,3300
Aura,810
Omega HD 5,3100
X5max_PRO,2300
vivo V3Max A,3000
ATU-LX3,3000
5026A,3000
BLA-L09,4000
COMIO S1,2000
BLU STUDIO C 5+5,2000
Redmi S2,3080
Redmi 6A,3000
S552,4500
V500,4600
Edge,4500
Elite Plus,4150
5051J,2500
4017X,1300
Max 2,5300
HTC Desire 650,2200
itel P51,1370
Rover,4000
ASUS_X00LDA,3000
LG-M160,2500
K1,3600
Pacific-ip6,1810
X5mini,3050
HUAWEI CAM-L03,2200
C3,5000
CLOUD TREAD,3000
Indian9,1600
LG-H630D,3000
ME173X,15
SM-J600FN,3000
AX685,1300
S4Q,3000
LGT02,4800
Coolpad E561,1800
ASUS_X00LDB,3000
B1-770,3700
E2,3400
AS8,3400
Lenovo X2-AP,2300
LG-K210,4100
Aqua GenX,2850
VFD 513,2200
C1,4230
M4 SS4453,5000
MIX2,3400
M5 Plus Lte,5020
A96,4000
A7Pro,2800
s5029,2000
K9 Music 4G,3000
vivo 1803,3260
Alcatel_4060O,1800
Micromax Q334,1800
Celkon Q599,2000
HUAWEI LUA-L13,2100
Block mini,750
SM-N920R4,3000
XI-CEU7,3210
SM-G900MD,2800
NX573J,3000
SMART_O2,3050
SM-J727,3300
Mi A2,3000
Intex_Aqua_Play,1700
D2305,2300
BLU Studio Touch,2500
VIBE S6i Plus,2420
W_C800,3000
Mate1,4050
Easy L,580
LG-H324,1900
Micromax Q426,3000
TECNO F2LTE,2400
BLU STUDIO SELFIE LTE,2000
Micromax HS1,2500
GT-I8150,1500
SM-N960F,4000
A3_mini,3020
Infinix NOTE 2 LTE,4300
Lava A89,2000
U50A_PLUS,2460
Micromax Q428,3050
5044Y,2050
BND-L21,3340
HTC 2PZC100,3000
Micromax Q355,2820
SM-A320Y,2350
ASUS_X00TD,5000
Konnect Power,4000
Micromax C2APLS,2980
J3,2600
XI-CEU8,3210
XT1804,3000
MTC SMART Sprint 4G,2300
TECNO 7CS,3000
Aqua 5.5 VR,2300
Elite Pro,4070
SM-J337T,2600
SC-04F,2800
F2,4700
CPH1859,3410
P11,2000
6045I,2910
A722,3200
X4_Soul_Mini,2500
SM-A520K,3000
SM-J530FM,3000
STARTRAIL7,2500
Z1c,2300
Infinix X608,4000
0PM92,2000
SM-J260G,2600
L53,3000
M50A,4000
BLU STUDIO ONE PLUS,3200
vivo V1,2300
PSP3507DUO,2300
iris60,4000
SM-T810,5870
PHICOMM CLUE 2S,4000
HUAWEI CRR-UL20,2700
CPH1727,3200
B74,4000
SM-A910F,5000
ZTE T660,2200
itel A52,5000
ML-JI11-M7_3G_PLUS,4500
ZB501KL,2650
LG-X230YK,2500
DROID Turbo,3900
Mate_9,4000
Classic 451,2515
A451,4000
HUAWEI NXT-L09,4000
5026D,3000
Panasonic P95,2300
ATU-L42,3000
LG-K550,2900
A5_Easy,1400
HM-G553-FL,2000
Le X527,3000
XP1,1000
U4,2050
Coolpad E2C,2500
R40K,720
Redmi 6,3000
vivo 1726,3260
NX529J,2800
Celkon Q567,2000
I_Star_Plus,1800
IP6,1810
BLU TOUCHBOOK M7,2800
ELUGA I4,3000
Techpad M6,3070
HTC One E9PLUS dual sim,2800
SO-04J,3230
S8 Plus,3500
L70,2100
G55,720
HERO_2017,3400
BQS-5020,1400
Amaze S6 4G,1730
LS-4005,1800
Royal R9,4120
Galaxia S2,1650
C6906,3000
Primo S6,2550
LG-H840,2800
ZTE N939Sc,3000
LG-M151,2500
X1 atom L,1400
TECNO CX Air,3200
Studio J1,1350
CAM-L23,2200
Coolpad E580,2500
R1 PLUS,4000
DEFI HERO,1350
Era 2X,2500
Ilium LT510,2800
8053,3000
Lynx_T,1000
Ultra Latitude,5000
Space Phone 5G,4235
Y11,5000
Coolpad E503,2500
Mi A2 Lite,4000
Aqua Classic,4000
V2s,2500
Beeline_Pro_6,2560
LG-K535,2900
DRA-L01,3020
5099Y,3000
Studio Pro,2000
D6616,3100
MOVIC-W3,3000
Blade S6,2400
Comio C1 Pro,2500
Lenovo L78011,3300
ELUGA Ray X,4000
A78,1300
N9132,2300
POCOPHONE F1,4000
LAVA_A3,1500
E11,910
TA-3,4000
IM0318ND,2300
SMART TAB 4G M1,4800
iPhone 8 Plus,2691
Panasonic ELUGA Z,2050
EVA-L19,3000
Power Rage Evo,4000
AS9,2300
C10,4000
A51w,2420
HUAWEI MLA-L03,3340
5051A,2500
HTC_X9u,3000
SM-N915L,3000
XT1563,3630
5056D,2500
Acer One 7,3700
LG-M322,4500
V15,4000
GO1402S,2500
V10,3000
KOB-L09,4800
Pixel V2+,2700
F3Â Prime,2600
Amaze S5 4G,1730
INTEX AQUA SELFIE,2500
ZTE Blade Q Lux,2200
Vfone i7,1960
B1-790,3700
Era 2V,2350
R5D,2000
B11,3400
Star4G,2450
MyPhone my87 DTV,1500
Spice Mi-498H,1700
brown 1,4000
SM-J337VPP,2600
SH-03K,3130
TIGER X5,3000
ONE A2005,3300
W6,880
SM-N915V,3000
H3123,3300
FRD-L14,3000
LP Swift,1600
5009A,2000
A300,1900
d-01K,6600
Tommy2 Plus,3000
Q700S Plus,1800
Fresh,900
Rush,2000
R1,2500
SM-N9208,3000
ELUGA A4,5000
Z5c,2700
S1,4500
CUN-AL00,2200
QMobile Evok Power,4000
X-1 Pro,3000
SM-G9350,3600
CPH1715,3200
SM-G360HU,2000
G3226,2700
iris708,2100
vivo Y37,2720
HUAWEI LUA-L22,2100
iris 755,2100
TRT-LX2,4000
SMART 4G M1,1880
SM-G900I,2800
vivo 1808,3260
CPH1823,3500
SM-E700F,2950
SM-A500K,2300
STAR,1200
vivo 1606A,2500
SM-A710K,3300
HM-G700-FL,650
ASUS_Z002,3300
SCV31,2600
CPH1607,3010
SM-N7502,3100
PSP3510DUO,2200
SM-G750F,2800
ANDY_45EL,2000
SM-N910L,3220
TWIST 4.0,2800
iris40,1450
MX7 QuadCore,300
SP7731G,3300
L3,3300
NX597J,3000
Lenny4 Plus,2500
SMART 4G Octa 5.5,1880
U5,2050
GT-N7000B,2500
T1 7.0,4100
Blade S6 Lite,2400
iris700,2200
SMART 3.5'' Touch,1300
PHONE7,1960
SM-G900K,2800
SMART 4G MAX 5.0,3000
iris353,2000
SMART 4G Speedy 5.0 Plus,1880
Aqua_Power_HD,4000
Grand,2100
SM-C710F,3000
SM-A600G,3000
SMART Champ 4.0,1880
iris 515,2000
SMART 4G Plus,1880
CPH1613,4000
iris510,2100
A51f,2420
ASUS_X00QD,3300
SM-J415F,3300
Alcatel_7049D,3000
vivo Y31,2100
T702,1200
SMART 4G 5.5 Enterprise,1880
SM-A9+,3800
True Smart 3.5,1300
T3,4800
I552,2000
N5111,2140
SM-A500L,2300
X9076,3000
i-mobile i-STYLE 812 4G,720
Coolpad R116,4060
ASUS_L001,3480
X9 Mini,3000
R7plusf,4100
Lenovo A859,2250
SMART 3.5'' Touch+,1300
N1,3610
T1000,2000
HUAWEI Y625-U43,2000
AR3,3300
MAX,3174
Lenovo K910L,3000
vivo Y22,1900
vivo 1806,3315
icall X Plus,2600
N5206,3000
INE-LX2,3340
verykoolSL5029,2000
TM-5073,1500
H3223,3580
"SMART TAB 4G Speedy 7.0""",4060
Mi MIX 2,3400
LG-H845,2800
P8W,3150
E121,800
ASUS_T00Q,1750
Z150,900
m2 note,3100
Elite 5T,3600
YU5012,2500
SM-G611S,3300
itel S11Plus,3410
Lenovo YT3-X90L,10
PGN518,3140
BLU NEO X MINI,1700
Platinum 4.0,1700
BQ-5005L,3100
Letv X500,3000
SO-01G,3100
C228,1100
X6 S,2400
SLA-L02,3020
Micromax Q491,2230
SO-01H,2900
9008T,3000
Servicom 4G Premium,2500
Infinix Zero 4,3200
iris88,2000
MARS TOUCH,3800
Z14,3130
Aqua Craze,2500
Essence,1600
Lenovo A6020a41,2750
Nokia 5.1,2970
Z60s,2500
5046U,2460
H50,2540
LG-K332,2125
Flare_J2S,2600
601SO,2900
i2_Lite,4000
MAGNO PLUS,3570
Coolfive+,4000
ELUGA_Pulse,2200
ATU-L11,3000
Grand Energy,4000
Micromax Q327,2000
LG-H522,2540
Mi MIX 2S,3400
SM-A500S,2300
5059T,2460
LYO-L21,2200
R7,2320
A10 Pro,3400
i999,2100
KIW-L22,3000
HIMAX PURE 3S,1100
SPARK 2,3500
Y10,4000
M4 SS4451,2400
BLU STUDIO XL,3000
Infinix HOT S,3000
QMobile i2 POWER,2000
TECNO H6,4050
KYV42,3700
V10-Y,3000
TF300T,22
Micromax C2A,2980
VS985 4G,3000
INTEX_AQUA_4.0_4G,2300
W_K400,2350
M4 SS4458-R,5000
ASUS_Z010DD,5000
A503 Joy,1900
SO-04G,3000
SM-J700K,3000
P101,2500
SM-G950U1,3000
CAG-L23,3020
TOMMY,2500
iris870,2500
GO1452,3000
BLU ENERGY X PLUS 2,4900
vivo Y31L.RastaModâ„¢_Version,2100
QMobile ENERGY X2,5000
ATU-L21,3000
6055P,2610
8067,3250
T40,1500
MS550,2900
VS995,3200
SNE-LX1,3750
A622GL,3500
6062W,4000
S2 Pro,3000
S19,2000
Hot 2 X,3050
BQ-5007L,3100
ELITE 5.5L,2250
XZs,2900
TW801,4000
XT1045,2070
LML212VL,2500
FinePower C3,5000
Exmart K1,3600
LGT31,4800
Smart III,1500
ZTE BLADE V0730,5000
SM-N915F,3000
LM-X415L,3000
HM-N700-FL,3000
P6_Life,1750
XT1514,2390
Alcatel_9022S,4060
7043A,2500
SM-T377W,5000
i-mobile i-STYLE 220,1500
X46,2500
klte,2800
Intex Cloud Glory N,4000
5033D,2000
J7 prime 2 mini,3300
QMobile S2 Plus,2000
X15S(+),3000
SM-J415FN,3300
ZTE BLADE V0820,2500
Spark 5,5000
HUAWEI VNS-L53,3000
U PULSE,3000
Blade S6 Plus,3000
HM2014813,2200
D816w,2600
Vibe K5 Plus,2750
Infinix X606,4000
Max 1,2000
7048A,2500
0PJA2,2840
Prime P444,4000
Mate9,4000
P01T_1,4890
TECNO K9,3400
V3_Viper,3000
Tank Xtreme 4.0,2800
Mix9Pro,4000
LGLS992,2800
Alfa 5,1860
HOT4,4000
LAVA V5 M,3000
TM-5003,2300
QMobile i6 Metal 2017,2000
Astra Star,3700
Sunny3,2000
VK815,4800
L8,2000
Z61_2GB,3000
FLOW_5,4050
Tele2 Maxi,5000
Desire R7 Lite,2320
S17,4100
HUAWEI TAG-L22,2200
5012F,2000
Coolpad R108,2500
R7Plusm,4100
SM-G925W8,2600
O5,3000
A191,4500
A8 MAX,2800
ASUS_Z00LDD,3000
HUAWEI VNS-L22,3000
M25i,1500
H1711z,4000
K-7,2125
MITO_A550,1700
LGM-G600S,3300
Phantom6-Plus,4050
MITO_A72,2500
iX Ultra,3000
HTCONE,2300
SM-N950w,3300
SM-A600FN,3000
R3,2410
J5 (2017),3000
N9519,3000
SM-J610F,3300
SAMSUNG-SM-N915A,3000
Neffos Y6,3000
GO C3,1320
5015X,2000
P450,950
vivo 1804,3400
Jive,3300
P500,1500
D504,2540
LG-D415,2540
Grand Mini,1500
Redmi 6 Pro,4000
SM-J600GT,3000
iV 505,2600
Lenovo TAB 2 A8-50LC,4290
5085J,2800
lephoneP1,5000
M6 mirror,5000
8079,2900
Nokia 2.1,4000
T8Q,4850
VK810 4G,4600
Admire Sense,1520
G2199,2620
HUAWEI GRA-UL00,2680
iV Smart 4G,1880
vivo V7+,3000
HUAWEI CAZ-AL10,3020
SM-G920,2550
SM-N920W8,3000
BLADE V7,2500
Ginzzu GT-7105,3100
SM-J250Y,2600
COOL-K,4000
Grand M2,2600
5016J,2000
KFTBWI,3830
FS8002,3000
COL-L29,3400
SM-A750F,3300
MI 4S,3260
ASUS_X00DDB,4100
MI NOTE LTE,3000
X511,1600
A726,2000
K01A,3950
SM-G925V,2600
mobiistar C2,1020
Micromax E460,3000
LM-X410.FGN,2880
POCO F1,4000
SM-N750L,3100
P00I,7800
PICOphone M2/M,2500
5044S,2050
i50,3000
Navtech F1+,4000
8298-A01,3000
L5,1300
V200,720
Asanzo Z5,3300
Astro X55 LTE,2200
P12s,3000
PLAY Boost,3000
HUAWEI CRR-UL00,2700
A74J,1500
ASUS_X007D,3000
Rainbow3,2000
T702 Prime2,3300
Excer G5.5,3000
S6000,6350
SLA-L23,3020
V2_Viper_S,3000
ONEPLUS A6013,3700
KYOCERA-E6820,3240
J3 Emerge,2600
moto e5,4000
SM-G930S,3000
MYA13,3000
SM-G930R4,3000
Tele2_Mini_1.1,2110
SM-G800M,2100
W8,1200
XT1802,3000
BND-AL10,3340
LS-5502,2420
motorola one,3000
D5-S,1800
Dash X2,2000
SM-J260Y,2600
G5+,2800
SM-S337TL,2600
LT700,2400
INTEX AQUA POWER IV,4000
Infinix X5515F,3050
PULP 4G,2500
D-2,3000
Primo F7,3400
A7000,2900
Z2 Lite,1500
P30 Pro,4200
HMA-L29,4000
WE L4,3580
Trio V51 DT,19
Energy Phone Neo 4G,5000
Zenfone Max Pro M1,5000
5044I,2050
Gpower 5,5000
XT1700,2800
Symbol X,1700
Grand XL,2650
ASUS ZenFone 2E,2500
Lenovo YT-X703L,9300
LM-G710,3000
818,1000
F100A,2080
5041C,2050
5046J,2460
BQ-7022,3100
HOT4 Pro,4000
Plane 8555M 4G PS8168ML,5020
h828,2800
CPH1809,4230
Infinix_X556_LTE,4000
E506,2600
LML414DL,3000
SM-A750GN,3300
G4+,3000
Me 2,4230
SM-N915D,3000
STH100-2,2610
BQ-4026,3100
M50A MAX,5000
SM-T377P,5000
Aqua Pride,2300
TECNO ID3k,3750
Frames S9,3000
SM-G885S,3700
Diamond_X,900
ECHO MOSS,1370
A9+,3800
Plume H1,3040
BQ-5022,3100
PIC-LX9,2950
EliteDual,4150
LG-H442,2100
J7,3000
SM-A500W,2300
QMobile Z9,2000
itel A62,700
ROME_X,3120
Lenny4,2500
E10,1000
Shine,2460
HTC Desire 555,2200
Q380,2000
SOV31,3000
HTC6545LVW,3000
LM-X415K,3000
R5,2000
ZTE B2017G,2705
SM-G611MT,3300
Pixel 3 XL,3430
Tommy3,2500
V80,820
SM-J7 Max,3300
LGL22C,3000
SM-G850S,1860
Z25,3020
Levin V2,4000
41s,5000
5017O,1400
BLU Grand X LTE,2400
muPAD 7S,3000
2PYB2,3200
HTC One M9 Plus,2840
Lenovo TB-7703X,3450
Infinix_X521,3000
Royal R2,1400
5033D_RU,3820
Avvio L640,2500
SM-J327VPP,2600
SC7731,2000
P715,2460
E5603,2600
T012,2000
S8+,3000
A74M,1500
SM-G611K,3300
w7,240
Typhoon-T2,4200
Q9,3000
SM-A605FN,3500
CPH1835,3450
LG-F650K,2300
Pixil Prime,3450
Super 7,3000
JSN-L21,3750
LG-H342,1900
Z837VL,2300
HWV32,3000
Ester 4,3750
Flare J5,2600
BQru-5044,2580
INTEX AQUA S1,1700
BQru-5000,4000
SM-N910K,3220
A2 Air LTE,7340
GOTUNE3,1230
A502DL,2050
J2 Pro,2600
GRANT,2600
ZTE BLADE L111,1600
Aqua_Q7N,2300
P2M,3000
Swift 4G,1600
F1,4000
U3,5000
M631,3000
M24s,2500
JOY JD5024G,1900
SM-P585N0,6000
TECNO IN1 Pro,2400
S5020,3000
CliQ2,1420
Lenovo PB1-770M,3500
MAGNO,1100
SM-A710S,3300
E3_Living,1850
5059D_RU,3
Coolpad A8,2800
BQ-8041L,3100
Z12,3150
ASUS_X00PD,4000
Archos 40 Neon,1500
ATRIUM II F55L2,6000
LG-H872,3300
KYOCERA-C6742,2100
SM-J610G,3300
Soundphone S2,1650
Micromax D304,1300
RMX1805,4230
W55,2730
A73,3200
BQ-6001L,3100
HTC Desire 10 pro,3000
G20,5000
P7_Lite_TM,2300
9003A,2580
vivo V1Max,2720
GRACE,2680
H3113,3300
LG-F520S,2610
F3215,2700
Passion P2,5100
X9007,2800
F100,1000
LG-H812,3000
Blade Q Lux,2200
LOGIC X5F,2800
4G Premium II,3540
C1 Lite,4230
HM2014811,2200
Flare J5s,3100
Archos Core 50 4G,2000
Passion P1,5000
V9,3260
K1 Star,3600
M4 SS4457-R,5000
SM-G9650,3500
W74,4000
ELUGA I7,4000
L550,2700
BQ-5000G,3100
i_Smart,4000
Micromax Q323,1450
Aqua 4G,2300
5017D,1400
vivo 1725,3200
ASUS_X00ID,5000
Lenovo YT3-850F,6200
G2299,2620
5025D,2500
SM-G925R4,2600
J3 8,2600
LM-Q710.FG,3300
C8 4G,4000
Lenovo TB-X704L,7000
Infinix S2 Pro,3000
SAMSUNG-SM-G750A,2800
SM-J737V,3300
SM-S320VL,2600
Lenovo L38011,3000
verykoolS5007,2000
V8,2730
XT1564,3630
V2,1500
SM-P355M,4200
5098S,2580
VS810PP,3200
Optus X Start,2050
HIGHWAY PURE,2000
Beeline Smart 2,1200
W_P130,3000
S63,1300
5047I,2200
M22s,2500
WE A10,3400
Infinix Zero 3,3200
HTC One max,3300
PURE MINI,3000
SM-G5520,2600
Ola Series:mini,1700
vivo X9i,3050
KLIPAD_SMART_I746,4600
L500,2230
TECNO AX8,3500
Cloud Fame 4G,2300
SM-A605GN,3500
iris30,2000
O+_360_Alpha_Plus_2.0,4300
SM-J327F,2600
A6,3000
LG-D725,2540
N8,1200
Power_3,4500
Passion P6,2000
SM-N920F,3000
T04,4000
H-2 4G,1230
LDN-L01,3000
SM-A700YD,2600
PLK-AL10,3100
DRA-LX5,3020
TECNO F4 Pro,2400
ASUS_Z017DB,2600
SANTIN JS,2600
5085A,2800
SM-N900S,3200
BQ-5056,3100
F5+,3200
SCL24,3000
SM-G5528,2600
P9 Plus,3400
5009D,2000
F3112,2300
vivo 1807,4030
ASUS_Z00UDC,3000
MIONE X,4400
LEAGOO Z5,3300
Aqua Raze II,2500
SO-04H,2700
Primo H4,4000
MI MAX 3,5500
B1S,1400
MI 8 Lite,3350
Le X821,3100
RNE-L23,3340
Lenovo A3860,2300
Z3c,2600
SM-J5108,3100
5054D,2500
H520,2540
R29,2410
7 Plus,2900
AS6,2550
N9521,3400
SM-A530W,3000
TECNO 7C,3000
1016,400
J3 Pro,2600
S504,1500
A503-Optima,4500
ZC553KL,4100
501SO,2900
Hero L,3400
Amazing A30,4000
AS-4421,25
QMobile Noir S9,3000
M600,900
R2 mini,2500
l9010,2000
SM-G928S,3000
Xtreme 2,3500
TS-M105A,800
e502,2500
Bolt Mega,3200
M22,2500
SM-G906S,2800
1066TPC,8000
X21 Plus,3200
ASUS_X00RD,3000
TIGER X4,3000
A67 512MB,2000
SNE-LX2,3750
vivo 1801i,3360
GI-708A,2700
YU5551,3930
Flare_Y3,4000
AQT82,5900
SM-G928I,3000
VIPRO P20,4000
i5A,3300
Aqua Tough,2400
Nokia 3.1 Plus,3500
SM-T555,6000
ELUGA_I2_Activ,2200
TM-1067,1500
ALLIA A1,3000
710C,2600
LG-H542,3000
C20,800
SO-03F,3200
KENNY,2500
9015B,3240
Micromax Q3301,2000
I40,3100
i20,3400
iris821,2500
HTC6535LVW,2840
INTEX AQUA CRYSTAL+,2300
NUU_M2,2500
Elite 45T,4070
era_4G,2500
FL02,3000
vivo 1817,4030
GR5,3000
X50 Plus,2800
SM-J260F,2600
5054T,2500
AJ3,2600
10,3400
RMX1801,3500
SM-J260M,2600
Archos Access 50 Color 3G,2000
Infinix X606C,4000
Archos 50e Helium,2000
BMM 532 S,1560
C2,4000
LGM-K120L,2500
PRA-AL00X,3000
SM-T700,4900
HT-705,2600
Infinix X606D,4000
S25,650
PAR-LX1,3750
DUA-AL00,3020
TECNO PhonePad 3,5000
ZH960,1520
K9 Smart Selfie,1800
Q5,2180
Micromax A104,1900
TECNO-J7,3000
A2,3000
DROID RAZR,1780
TECNO CF8,3750
LG-F700L,2800
LG-E980,3140
CPH1881,3500
RAINBOW 4G,2500
K8 Lite,2125
ASUS_Z00UDH,3000
Tank Xtreme Pro,4300
A3-A11,7300
SM-G130E,1300
L1,2620
HTC Desire 830 dual sim,2800
LG-F260S,2540
MAXTRON-DIAMOND,2700
LG-F160LV,2150
COR-AL00,3750
HIGHWAY 4G,2350
Orange Daytona,1700
Micromax A77,3000
RUNE III,4030
V50,4000
A72,5000
INE-LX1,3340
Wizard_1,1250
XT1003,2070
GT-B5330,1200
S270,2000
TECNO-Y3,2280
QMobile X35,1450
ALCATEL ONETOUCH POP 7 LTE,3240
K20 plus,2700
HUAWEI MT1-U06,4050
SM-G900,2800
SHIFT,2700
iris 758 4G,1550
Play Z5,2900
5042A,2000
P790,1500
SOL21,1750
M89,2840
4009F,1300
CPH1853,4230
JKM-LX3,4000
SM-T230NT,4000
LG-H736,2300
GT-I8190N,1500
GT-S7560,1500
Joy HG5024M,1900
Blade L3 Plus,2000
vivo 1812,3260
SM-G386T,2100
HTC 2PST1,2200
400Q,1700
Y635-L03,2000
SM-T111M,3600
L-EMENT 505,3000
IM-A860K,3140
4027D,1400
Cosmos V20,3200
ELEMENT PLUS,3000
U450,960
ANE-LX2J,3000
Advance 5.2,3000
Micromax Q3551,3000
SUPRA M74B 3G,1150
A510,2900
Z792,4080
7040N,2000
CPH1827,3180
G3116,2300
X38,4000
vivo Y11,5000
PSP3505DUO,1950
LM-X410L,3000
W70,4000
ST25i,1320
iris X5,2100
Vodafone Smart Tab 3G,3400
ZTE Blade A522,2540
VF-1497,4600
P4S,1800
GT-I9260,2100
LG-F600S,3000
C5502,2300
SM-N910A,3220
vivo Y28,2100
LG-F200K,2150
C6502,2370
Micromax A311,2500
Coolpad 7061,3000
NXT-L29,4000
SM-P605S,8220
S4A+,2600
Spice Mi-445,2000
TECNO-J5,2600
GT-I9100P,1650
5070D,2000
X4_Soul_Infinity_N,3000
K016,15
i500,1100
A1-734,3400
SM-T231,4000
HUAWEI Y221-U12,1350
CPH1901,4230
SM-T537V,6800
HTC Butterfly S,3200
RMX1811,4230
7295A,3200
Mercury,1900
LG-F100L,2080
Lenovo A2010l36,2000
i5050,3000
TA-1052,3090
AG7,3000
LG-D100AR,1540
SPH-L710T,2100
SM-G313ML,1800
TA-1,2150
ONE TOUCH 4033D,1300
V30,3300
K100,1940
8070,3240
SM-A700K,2600
SM-J100ML,1850
B3 Maxi,4850
Redmi 2,2200
HTC Sensation XL with Beats Audio X315b,1600
SBM evo 1,3200
Q519,2000
EML-L09,3400
Micromax Q411,1850
BQru-5202,2500
SM-J737T1,3300
T1-701u,4100
404KC,3100
Iconia 4G,3400
STUDIO X PLUS,2600
Z998,3400
Micromax Q335,2820
SGH-I547C,1850
MITO A355,1200
ASUS_Z01MD,3000
4013E,1400
TECNO LA7 Pro,5000
Nokia 3.1,2990
